,keyed_name,id,is_current,minor_rev,is_released,not_lockable,css,new_version,config_id,permission_id,release_date,effective_date,team_id,authoring_tool,authoring_tool_version,description,external_id,external_owner,external_type,has_change_pending,is_standard,is_template,monolithic_model_file,name,native_file,thumbnail,view_file,viewable_file,x_max,x_min,y_max,y_min,z_max,z_min,item_number,classification,created_by_id,created_on,current_state,generation,locked_by_id,major_rev,managed_by_id,modified_by_id,modified_on,owned_by_id,state,superseded_date,from_template,dynamic_enabled,indexed_on
0,MP2729 Schematic,00BC4E5A73D544A9A672C6ACDE704F47,1,,1,0,,1,00BC4E5A73D544A9A672C6ACDE704F47,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,Altium Designer,14.3.5,Schematic files container,,,,0,0,0,,Makerbot MightyBoard Schematic,,vault:///?fileId=5D4280D9041045ECA4F99CE2E662181B,,,,,,,,,MP2729 Schematic,Electronic/Logical,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,E,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
1,MP1705,0153A113E7514B79A354330540D856F1,1,,1,0,,1,0153A113E7514B79A354330540D856F1,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1705.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,MK7 Thermal Core,7393CC19CE5E4EFCA6AEF55CCB6E4A49,vault:///?fileId=806FA219382C4D1BA8F33C0ED89EBEEA,12F1B1D006BC4717B9B10F03337CE9F7,AE03863067D144BDA6CA149DC8701524,,,,,,,MP1705,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
2,MP2194,053F1CD1EC9949E88F3CE55883EBCAEA,1,,1,0,,1,053F1CD1EC9949E88F3CE55883EBCAEA,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2194.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Thing-O-Matic 2 Front Panel,66BC2AA1809146008D2821F3D701B757,vault:///?fileId=3382D4BECE304306BBF0333730632CBB,A9ED78E611644733932301973B788CB5,BD56A7E4473B40C6B6060504B95B5D72,,,,,,,MP2194,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
3,MP1947,073D8155B94C43B589691E5A429BC870,1,,1,0,,1,073D8155B94C43B589691E5A429BC870,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1947.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,M3x45 Socket Cap Bolt,5D21334F1BF7457D8E0D211A674F8791,vault:///?fileId=71894CA3C232406980311781D2758C79,6DBA21EEE81D446B897216C6409913FF,D881F16FD8EF4ABC817E41A2E262AA3C,,,,,,,MP1947,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
4,MP1868,077A59D57F0D4ADE8245D4CE8F7FEC38,1,,1,0,,1,077A59D57F0D4ADE8245D4CE8F7FEC38,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1868.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Pulley 5mm shaft,320838EC40964D11B342E05200E3428E,vault:///?fileId=90426BB1FB8D4D27BCD1202FBFCBFFDC,42ABFD1CBEC9497E8482CC0B37BB61BB,0E20E14F2B7B465CBDF1C0EC8ACE818C,,,,,,,MP1868,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
5,MP2947,08CB22D8E4C74837B2F8EBEABBF7B03C,1,,0,0,,1,08CB22D8E4C74837B2F8EBEABBF7B03C,EA3ED7E7391542D7A17AF2F42B5274ED,,,,SolidWorks,sw2014_SP03,,MP2947.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Cover Front,0B901BB436174DCF8F41B78B548048B8,vault:///?fileId=D14079E277CC4C868262B486AA0865A8,2BF50367C16B4CA98C15799D07B05ADA,C70F9E4335D340859BBB7563E9D5FA6D,,,,,,,MP2947,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-11-28 23:45:00.000,A29C9720FF0D4950A140A90BEEA903DA,1,,C,,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-11-28 23:45:00.000,,Preliminary,,,0,
6,MP2416,0CA98F0F3F7A4314ACCE6EB9B117E296,1,,1,0,,1,0CA98F0F3F7A4314ACCE6EB9B117E296,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2416.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Thing-O-Matic 2 Y Carriage Primary,7491B8BEE83743D6B2C1E072632519CC,vault:///?fileId=0956F7A2B89A473EB533449A810C5B12,98A483FF25D44456A846CDFD51ABDA59,1A7160D856314609BC4AFC0EBB8ED01B,,,,,,,MP2416,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
7,MP2729 Assembly,124EA75032174EA69623315B9C051DF3,1,,1,0,,1,124EA75032174EA69623315B9C051DF3,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,Altium Designer,14.3.5,Assembly files container,,,,0,0,0,,Makerbot MightyBoard Assembly,,vault:///?fileId=5D4280D9041045ECA4F99CE2E662181B,,,,,,,,,MP2729 Assembly,Electronic/Assembly,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,E,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
8,MP2256,128EDEA775B04BDDAAE6EF631AA0FB8C,1,,1,0,,1,128EDEA775B04BDDAAE6EF631AA0FB8C,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2256.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Silicone Keypad,FBB5B49C6BE54B388EC5DF54F1FFA6DB,vault:///?fileId=552A656C75BF477F9E40FA47DBA8C03C,B31052BD18F74E1C8C079FF0F0C24259,E2597014F5B64B578954A58F32FF5AD5,,,,,,,MP2256,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,C,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
9,MP2977,1364DBB03A55442CA6CDFFBD05897A02,1,,0,0,,1,1364DBB03A55442CA6CDFFBD05897A02,EA3ED7E7391542D7A17AF2F42B5274ED,,,,SolidWorks,sw2014_SP03,,MP2977.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,SD Card,64917224EE1840B18883E0EEB91F9688,vault:///?fileId=B7C0E580CC8C474BB5261B502CDB8293,1E5B4D2030AA4A8DAAF8CF639E405D3F,623E21BC6720490A829ECD98D21DAD66,,,,,,,MP2977,Mechanical/Part,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,A29C9720FF0D4950A140A90BEEA903DA,1,,A,,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,,Preliminary,,,0,
