,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,team_id,address,address_state,city,contact_name,country,description,main_fax,main_phone,web_site,zip_code,name,state,ce_mfr_add_city,ce_mfr_add_state,ce_mfr_add_zip,ce_mfr_add1,ce_mfr_add2,ce_mfr_add3,ce_mfr_add4,ce_mfr_business_status,ce_mfr_cage_code,ce_mfr_code,ce_mfr_comments,ce_mfr_content_coverage,ce_mfr_fax,ce_mfr_name,ce_mfr_phone,ce_mfr_region,ce_mfr_site,ce_mfr_status,ce_object_id,ce_short_mfr_name,ce_source,ce_sync_date,indexed_on
0,,MAXIM INTEGRATED PRODUCTS INC,06E55D3D5A224FC39A253B10FA69F1F8,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,06E55D3D5A224FC39A253B10FA69F1F8,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,MAXIM INTEGRATED PRODUCTS INC,Preliminary,,,,,,,,,,,,,,MAXIM INTEGRATED PRODUCTS INC,,,,,1400363781,,1,,
1,,ROYAL ELECTRONIC FTY CO LTD,207F388A2AE94407808AE814D22BBF5B,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,207F388A2AE94407808AE814D22BBF5B,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,ROYAL ELECTRONIC FTY CO LTD,Preliminary,,,,,,,,,,,,,,ROYAL ELECTRONIC FTY CO LTD,,,,,1404374511,,1,,
2,,RCD COMPONENTS INC,23245B34238342508EF54B7569C57655,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,23245B34238342508EF54B7569C57655,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,RCD COMPONENTS INC,Preliminary,,,,,,,,,,,,,,RCD COMPONENTS INC,,,,,1400449977,,1,,
3,,ROCHESTER ELECTRONICS LLC,2746FF9BB31C45BE92B27F1A87953BA1,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,2746FF9BB31C45BE92B27F1A87953BA1,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,ROCHESTER ELECTRONICS LLC,Preliminary,,,,,,,,,,,,,,ROCHESTER ELECTRONICS LLC,,,,,1532871491,,1,,
4,,GRAYHILL INC,2F3E0F804CB94CBEBD8052521F281F74,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,2F3E0F804CB94CBEBD8052521F281F74,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,GRAYHILL INC,Preliminary,,,,,,,,,,,,,,GRAYHILL INC,,,,,1408689009,,1,,
5,,SIYOM,4A3E20FC136D4DD3AABF0BF62A109BD7,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,4A3E20FC136D4DD3AABF0BF62A109BD7,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,SIYOM,Preliminary,,,,,,,,,,,,,,,,,,,,,,,
6,,NXP SEMICONDUCTORS,523B8E8F0CB24C33B487A53601BFEE13,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,523B8E8F0CB24C33B487A53601BFEE13,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,NXP SEMICONDUCTORS,Preliminary,,,,,,,,,,,,,,NXP SEMICONDUCTORS,,,,,1400449971,,1,,
7,,Velleman Inc.,527645EA1C6646F5895C0A239E70C96F,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,527645EA1C6646F5895C0A239E70C96F,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,Velleman Inc.,Preliminary,,,,,,,,,,,,,,,,,,,,,,,
8,,MURATA MANUFACTURING CO LTD,5431EEF6A7E744D6AE910852B0FCE045,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,5431EEF6A7E744D6AE910852B0FCE045,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,MURATA MANUFACTURING CO LTD,Preliminary,,,,,,,,,,,,,,MURATA MANUFACTURING CO LTD,,,,,1400449956,,1,,
9,,ATMEL CORP,59F8AC3CA16C48B396F39F55497B5F39,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,59F8AC3CA16C48B396F39F55497B5F39,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,ATMEL CORP,Preliminary,,,,,,,,,,,,,,ATMEL CORP,,,,,1400449873,,1,,
10,,KYCON INC,5A9204F02C78400385DFDCC6C3534AE5,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,5A9204F02C78400385DFDCC6C3534AE5,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,KYCON INC,Preliminary,,,,,,,,,,,,,,KYCON INC,,,,,1816526248,,1,,
11,,McMaster-Carr Supply Company,61B48A7111E64519AB7D98099DF48701,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,61B48A7111E64519AB7D98099DF48701,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,McMaster-Carr Supply Company,Preliminary,,,,,,,,,,,,,,,,,,,,,,,
12,,SITRONIX TECHNOLOGY CO LTD,6C341CF173AC429C965C148CAF5456E2,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,6C341CF173AC429C965C148CAF5456E2,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,SITRONIX TECHNOLOGY CO LTD,Preliminary,,,,,,,,,,,,,,SITRONIX TECHNOLOGY CO LTD,,,,,1126210020,,1,,
