,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,team_id,description,has_files,item_number,name,unit,unit_price,state,manufacturer,ce_latest_datasheet,ce_mfr_name,ce_object_id,ce_source,ce_mfr_part_number,indexed_on
0,,MCR01PZSIF1002,0796049F365F4215BDA7B946E3A0E4B6,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0796049F365F4215BDA7B946E3A0E4B6,49B8F2B903D04A84AEA00050636514B9,,Thick film rectangular,0,MCR01PZSIF1002,,,,Released,942D5E4A8C9C464CAA7FD5ED389DAD68,,,1207537872,1,MCR01PZSIF1002,
1,,223886171229,07DB1F0E425D4119B6C635A450C02660,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,07DB1F0E425D4119B6C635A450C02660,49B8F2B903D04A84AEA00050636514B9,,"Cap,Ceramic,22pF,50VDC,NP0 TC Code,0805 Case",0,223886171229,,,,Released,DAAB81FC241A4EC389394EE73F35C5AA,,,800773521,1,223886171229,
2,,91100A120,0B90F452118E49A89323B75F01DE0FAD,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0B90F452118E49A89323B75F01DE0FAD,49B8F2B903D04A84AEA00050636514B9,,"Zinc-Plated Steel Oversized Flat Washer, M3 Screw Size, 3.2mm ID, 9.0mm OD",0,91100A120,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
3,,HEF4094B,0CFFB2C5FDE64429A5E740699B5C5588,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0CFFB2C5FDE64429A5E740699B5C5588,49B8F2B903D04A84AEA00050636514B9,,8-Stage Shift and Store Register,0,HEF4094B,,,,Released,523B8E8F0CB24C33B487A53601BFEE13,,,1324364722,1,HEF4094B,
4,,MIC2920A-3.3BS,0D4D9898E3524F689FD0F8694638DACD,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0D4D9898E3524F689FD0F8694638DACD,49B8F2B903D04A84AEA00050636514B9,,400mA Low-Dropout Voltage Regulator,0,MIC2920A-3.3BS,,,,Released,2746FF9BB31C45BE92B27F1A87953BA1,,,1358912745,1,MIC2920A-3.3BS,
5,,9271K94,0EB278014A494CEFB4501EEA1DF67F9D,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0EB278014A494CEFB4501EEA1DF67F9D,49B8F2B903D04A84AEA00050636514B9,,"Music Wire Torsion Spring, 180 Degree Angle, .224"" Spring OD, .025"" Wire, Left-Hand",0,9271K94,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
6,,TRM-002,0EE2F53F8BCC4457865C102EBE4A6E3F,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,0EE2F53F8BCC4457865C102EBE4A6E3F,49B8F2B903D04A84AEA00050636514B9,,a high power header connector,0,TRM-002,,,,Released,813105F85F95451FA04FEA7DB61EBA5E,,,1718378278,1,TRM-002,
7,,AIP31063,11225CCC806C49E4BB042466159732E7,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,11225CCC806C49E4BB042466159732E7,49B8F2B903D04A84AEA00050636514B9,,LCD Controller Register,0,AIP31063,,,,Released,4A3E20FC136D4DD3AABF0BF62A109BD7,,,,,,
8,,ATMEGA1280-16AU,11C47DCEBA5B488CB36A2E6AE68F4B0C,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,11C47DCEBA5B488CB36A2E6AE68F4B0C,49B8F2B903D04A84AEA00050636514B9,,8-bit Microcontroller with 8/16/32K Bytes of ISP Flash and USB Controller,0,ATMEGA1280-16AU,,,,Released,59F8AC3CA16C48B396F39F55497B5F39,,,2047894117,1,ATMEGA1280-16AU,
9,,46-101RED-E,136CE98A5ED74962ACA206E3A6CF9D6B,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,136CE98A5ED74962ACA206E3A6CF9D6B,49B8F2B903D04A84AEA00050636514B9,,Epoxy sealed terminals,0,46-101RED-E,,,,Released,2F3E0F804CB94CBEBD8052521F281F74,,,1742872701,1,46-101RED-E,
