,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,release_date,effective_date,team_id,cost,cost_basis,description,external_id,external_owner,external_type,has_change_pending,make_buy,name,thumbnail,unit,weight,weight_basis,item_number,classification,major_rev,state,superseded_date,control_type,indexed_on
0,MP1794,00580D67C81147258BD3B89EE1318E58,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,72A2322564FE4193933CFB5339487A06,,1,,0,0,,5,0,00580D67C81147258BD3B89EE1318E58,5C07EB829D4241F6BB884952960FAF58,,,,3.87,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,MK7 Filament Drive Block Front,vault:///?fileId=396E9875819E43628854633A16E8B489,EA,,,MP1794,Component,B,Preliminary,,Serial,
1,MP2343,01B2F67D451D491D84FD5209F44A8F35,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,7,0,01B2F67D451D491D84FD5209F44A8F35,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,242.315,Calculated,,,SofTech.Mechanical.SolidWorks,,0,Make,Botstep 17,vault:///?fileId=48F4B3F81DF747C8AF5BCBF4AA699CFA,EA,,,MP2343,Assembly,E,Released,,Serial,
2,MP2407,02963C4DABE44E12A243C5CB3FA322DF,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,02963C4DABE44E12A243C5CB3FA322DF,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,3.37,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Thing-O-Matic 2 Extended Rod Guide Ring,vault:///?fileId=268F43DD3AC640259251BC1D2DEC21A5,EA,,,MP2407,Component,B,Released,,Serial,
3,MP2199,029A82307CA5499B8E7BFAA0B1E16982,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,2,0,029A82307CA5499B8E7BFAA0B1E16982,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,5.35,Actual,,,SofTech.Mechanical.SolidWorks,,1,Make,Thing-O-Matic 2 Right Panel,vault:///?fileId=A083121659724A719F78C58DA4F9307B,EA,,,MP2199,Component,A,Released,,Serial,
4,MP3428,03DCBD82677B410491495758318D96DB,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,03DCBD82677B410491495758318D96DB,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.656,Actual,Thick film rectangular MCR03 (1608 size),,,,0,Buy,Resistor 1M,,EA,,,MP3428,Component,A,Released,,Serial,
5,MP1913-003,03E6B50FF17441168C73A1FF5ABCF891,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,03E6B50FF17441168C73A1FF5ABCF891,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.15,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,M3x30 Flat Head Socket Bolt,vault:///?fileId=F882607C443C4CAAB77F5B05281C45E2,EA,,,MP1913-003,Component,A,Released,,Serial,
6,MP2955,048B35C3F4354EF48034AB11BA603308,2017-11-11 22:03:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,048B35C3F4354EF48034AB11BA603308,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,6.5,Actual,,,,,0,Make,Front Window Panel,vault:///?fileId=0A8F461934A44B22AEFEAB22B40B3442,EA,,,MP2955,Component,B,Released,,Serial,
7,MP2967,052B70BA995D47CF834EF103CCE0D85E,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-10 16:56:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,052B70BA995D47CF834EF103CCE0D85E,95475AE006E7415794BDC93808DC04D2,2017-11-10 16:56:00.000,2017-11-10 16:56:00.000,,73.8,Calculated,,,SofTech.Mechanical.SolidWorks,,0,Make,Wiring,vault:///?fileId=7F3832760B35415292E7554FEC86C723,EA,,,MP2967,Assembly,A,Released,,Serial,
8,MP3311,05C374CDA229443D8AE292B96431DEBC,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,05C374CDA229443D8AE292B96431DEBC,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,4.54,Actual,Vertical header with latch & no peg 2.54/.100 centers,,,,0,Buy,Connector 1x4,,EA,,,MP3311,Component,A,Released,,Serial,
9,MP3494,07E827B747AE43648AF8C47EAAA9DC16,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,07E827B747AE43648AF8C47EAAA9DC16,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,230.4,Actual,Controller Stepper Motor,,,,0,Buy,Controller Stepper Motor,,EA,,,MP3494,Component,A,Released,,Serial,
